gisjn_tct,year,tractid,totpop_pov,povpop,povpop185,totalhh,hh100k_up,hh150k_up,tractpop,afam_pop,asn_pop,hisp_pop,totpop_age,under18,over64,povpop_pct,povpop185_pct,hh100k_pct,hh150k_pct,afam_pct,asn_pct,hisp_pct,under18_pct,over64_pct,aldi,bell.s,bi.lo,big.bear,bp.food.mart,chevron.food.mart,circle.k,citgo.food.mart,costco,cvs.pharmacy,dollar.general,dollar.tree,exxon.food.mart,family.dollar.store,flash.foods.llc,food.depot,food.lion,freds.store,harveys,iga,ingles.markets,jet.food.store,kmart,kroger,mapco.express,one.stop,piggly.wiggly,publix,quick.mart,quick.stop,quiktrip,race.trac,rite.aid,sam.s.club,save.a.lot,shell.food.mart,target,texaco.food.mart,the.fresh.market,trader.joe,walgreen.s.,walmart,wayfield,whole.foods,wholesale,winn.dixie,snap_enroll
G13045910103,Y2013,13045910103,4932,429,1472,1800,290,73,4932,845,22,428,4932,755,518,8.698296837,29.8459043,16.11111111,4.055555556,17.13300892,0.446066504,8.678021087,15.3081914,10.50283861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.083562
G13045910103,Y2012,13045910103,5029,380,1470,1927,275,98,5029,937,58,397,5029,754,603,7.55617419,29.23046331,14.27088739,5.085625324,18.63193478,1.153310797,7.894213561,14.99304037,11.99045536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986.8848823
G13045910103,Y2011,13045910103,5156,414,1333,2006,324,91,5156,795,0,500,5156,830,510,8.029480217,25.85337471,16.15154536,4.536390828,15.4189294,0,9.697439876,16.09775019,9.891388673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945.7697429
G13045910103,Y2010,13045910103,4715,573,1195,1849,338,90,4749,803,0,437,4749,712,408,12.15270414,25.34464475,18.28015143,4.867495944,16.90882291,0,9.20193725,14.99263003,8.591282375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869.1809723
G13045910103,Y2009,13045910103,4838,322,1084,1791,244,96,4877,770,0,403,4877,590,458,6.655642828,22.40595287,13.62367393,5.360134003,15.7883945,0,8.263276604,12.09760098,9.391019069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.213592
G13045910103,Y2008,13045910103,4618,463,903,1716,318,112,4660,550,0,337,4660,666,429,10.02598528,19.55391945,18.53146853,6.526806527,11.80257511,0,7.231759657,14.29184549,9.206008584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.873145
G13045910104,Y2013,13045910104,9656,1748,2788,3506,443,125,9656,1908,36,896,9656,1757,1477,18.10273405,28.87323944,12.63548203,3.5653166,19.75973488,0.372825186,9.27920464,18.19594035,15.2961889,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501.218436
G13045910104,Y2012,13045910104,9759,1917,3226,3338,476,129,9807,1911,39,567,9807,1863,1275,19.64340609,33.05666564,14.26003595,3.864589575,19.48608137,0.39767513,5.781584582,18.99663506,13.00091771,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442.551194
G13045910104,Y2011,13045910104,8932,1201,2913,3107,494,131,8984,1658,0,369,8984,1797,1321,13.44603672,32.61307658,15.89958159,4.216285806,18.45503117,0,4.10730187,20.00222618,14.70391808,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380.360946
G13045910104,Y2010,13045910104,8822,781,2307,3061,464,35,8870,1388,0,547,8870,1703,1020,8.85286783,26.15053276,15.15844495,1.143417184,15.64825254,0,6.166854566,19.19954904,11.4994363,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268.13721
