GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3162,416,3032,435,130,164
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4784,505,4351,456,433,332
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",4659,499,4160,500,499,408
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1586,284,1586,284,0,13
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4163,614,3504,483,659,549
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2247,306,1861,269,386,164
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4867,352,3519,267,1348,233
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1218,265,922,168,296,177
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",3277,370,2885,377,392,237
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3961,373,3719,377,242,199
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",3921,381,3738,352,183,194
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2407,168,2396,167,11,18
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1003,163,1003,163,0,13
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5208,519,5168,515,40,57
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",7177,763,6836,712,341,164
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",5941,635,5758,599,183,171
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4957,525,4819,512,138,105
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",5651,671,5543,680,108,130
1400000US13009970600,13009970600,"Census Tract 9706, Baldwin County, Georgia",4046,481,4046,481,0,13
