GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3162,416,3032,435,2928,422,75,48,15,23,14,23,0,13,0,13,0,13,0,13,0,13,130,164,0,13,0,13,0,13,0,13,0,13,130,164,0,13,0,13,0,13
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4784,505,4351,456,2102,400,2154,325,0,13,95,139,0,13,0,13,0,13,0,13,0,13,433,332,325,317,0,13,0,13,0,13,0,13,73,110,35,58,35,58,0,13
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",4659,499,4160,500,3423,450,633,229,6,12,0,13,0,13,57,86,41,59,0,13,41,59,499,408,250,284,0,13,0,13,0,13,0,13,249,322,0,13,0,13,0,13
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1586,284,1586,284,1218,255,368,167,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4163,614,3504,483,3118,443,342,183,0,13,0,13,8,13,0,13,36,47,0,13,36,47,659,549,622,563,0,13,0,13,0,13,0,13,37,65,0,13,0,13,0,13
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2247,306,1861,269,1235,228,532,152,2,4,0,13,0,13,0,13,92,101,17,19,75,99,386,164,119,93,0,13,0,13,0,13,0,13,256,144,11,15,0,13,11,15
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4867,352,3519,267,2603,250,860,176,11,18,0,13,0,13,0,13,45,48,0,13,45,48,1348,233,300,169,0,13,0,13,0,13,0,13,1032,248,16,20,0,13,16,20
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1218,265,922,168,886,177,36,32,0,13,0,13,0,13,0,13,0,13,0,13,0,13,296,177,282,172,6,10,0,13,0,13,0,13,8,14,0,13,0,13,0,13
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",3277,370,2885,377,2781,376,80,83,0,13,13,22,11,21,0,13,0,13,0,13,0,13,392,237,116,135,0,13,0,13,0,13,0,13,276,224,0,13,0,13,0,13
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3961,373,3719,377,2680,370,1005,166,0,13,23,37,0,13,0,13,11,18,0,13,11,18,242,199,25,48,0,13,0,13,0,13,0,13,217,195,0,13,0,13,0,13
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",3921,381,3738,352,2949,335,789,134,0,13,0,13,0,13,0,13,0,13,0,13,0,13,183,194,183,194,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2407,168,2396,167,749,190,1642,226,0,13,0,13,0,13,0,13,5,10,0,13,5,10,11,18,11,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",1003,163,1003,163,585,174,418,136,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5208,519,5168,515,2904,376,2245,480,0,19,0,19,0,19,0,19,19,29,0,19,19,29,40,57,0,19,14,26,0,19,0,19,0,19,0,19,26,48,0,19,26,48
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",7177,763,6836,712,3973,452,2560,645,16,24,240,140,31,52,0,19,16,26,0,19,16,26,341,164,119,147,10,18,0,19,0,19,0,19,212,187,0,19,0,19,0,19
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",5941,635,5758,599,3465,528,2094,615,0,19,153,122,0,19,0,19,46,43,0,19,46,43,183,171,45,78,0,19,0,19,0,19,0,19,121,153,17,27,17,27,0,19
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4957,525,4819,512,3190,522,1446,448,0,13,109,94,0,13,0,13,74,62,65,61,9,16,138,105,131,59,7,96,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",5651,671,5543,680,3166,612,2090,532,0,19,145,115,0,19,0,19,142,110,0,19,142,110,108,130,108,130,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
1400000US13009970600,13009970600,"Census Tract 9706, Baldwin County, Georgia",4046,481,4046,481,1267,258,2638,406,0,13,40,62,0,13,0,13,101,127,0,13,101,127,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13009970701,13009970701,"Census Tract 9707.01, Baldwin County, Georgia",2939,366,2934,363,807,175,2065,327,5,10,29,39,0,13,7,11,21,22,0,13,21,22,5,10,5,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13009970702,13009970702,"Census Tract 9707.02, Baldwin County, Georgia",3001,425,2956,427,1228,289,1712,365,0,13,16,16,0,13,0,13,0,13,0,13,0,13,45,23,36,22,0,13,0,13,0,13,0,13,6,9,3,5,3,5,0,13
1400000US13009970800,13009970800,"Census Tract 9708, Baldwin County, Georgia",7098,663,7011,663,4841,600,2133,485,27,24,0,19,0,19,0,19,10,19,0,19,10,19,87,45,60,40,0,19,0,19,0,19,0,19,27,27,0,19,0,19,0,19
1400000US13011970100,13011970100,"Census Tract 9701, Banks County, Georgia",5193,330,4745,301,4686,308,0,19,0,19,24,56,0,19,0,19,35,47,0,19,35,47,448,202,356,186,0,19,0,19,0,19,0,19,85,87,7,13,7,13,0,19
1400000US13011970200,13011970200,"Census Tract 9702, Banks County, Georgia",5354,339,5309,332,4719,335,370,148,10,17,192,56,0,19,0,19,18,24,0,19,18,24,45,47,42,47,0,19,3,6,0,19,0,19,0,19,0,19,0,19,0,19
1400000US13011970300,13011970300,"Census Tract 9703, Banks County, Georgia",4066,310,3700,288,3621,287,37,60,11,18,0,13,0,13,0,13,31,41,0,13,31,41,366,183,156,113,0,13,0,13,0,13,0,13,210,185,0,13,0,13,0,13
1400000US13011970400,13011970400,"Census Tract 9704, Banks County, Georgia",3720,296,3489,309,3335,321,109,127,0,13,0,13,0,13,0,13,45,43,0,13,45,43,231,182,188,135,0,13,0,13,0,13,0,13,43,54,0,13,0,13,0,13
1400000US13013180103,13013180103,"Census Tract 1801.03, Barrow County, Georgia",4075,445,3831,455,3462,452,72,79,0,13,230,170,0,13,0,13,67,72,0,13,67,72,244,210,159,177,0,13,0,13,0,13,0,13,85,129,0,13,0,13,0,13
1400000US13013180104,13013180104,"Census Tract 1801.04, Barrow County, Georgia",2048,306,1925,306,1574,260,219,180,0,13,60,93,0,13,17,29,55,71,0,13,55,71,123,121,72,92,0,13,0,13,0,13,0,13,51,74,0,13,0,13,0,13
1400000US13013180105,13013180105,"Census Tract 1801.05, Barrow County, Georgia",2480,261,2316,220,1980,278,109,129,0,13,227,152,0,13,0,13,0,13,0,13,0,13,164,193,94,115,0,13,70,147,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13013180106,13013180106,"Census Tract 1801.06, Barrow County, Georgia",2531,285,2293,271,2027,266,220,187,0,13,19,29,0,13,0,13,27,31,0,13,27,31,238,201,156,179,0,13,0,13,0,13,0,13,11,27,71,100,16,41,55,82
1400000US13013180107,13013180107,"Census Tract 1801.07, Barrow County, Georgia",3767,411,3275,475,2634,463,194,136,0,13,389,228,0,13,0,13,58,55,0,13,58,55,492,287,115,104,163,127,0,13,0,13,0,13,188,154,26,40,26,40,0,13
1400000US13013180108,13013180108,"Census Tract 1801.08, Barrow County, Georgia",3566,357,3352,407,2884,425,157,160,17,26,237,155,0,13,0,13,57,70,0,13,57,70,214,188,67,69,0,13,70,118,0,13,0,13,65,88,12,20,12,20,0,13
1400000US13013180203,13013180203,"Census Tract 1802.03, Barrow County, Georgia",3167,460,2683,376,1616,380,684,237,0,13,383,220,0,13,0,13,0,13,0,13,0,13,484,339,266,223,0,13,0,13,0,13,0,13,218,228,0,13,0,13,0,13
1400000US13013180204,13013180204,"Census Tract 1802.04, Barrow County, Georgia",2603,408,2213,408,1299,316,790,224,0,13,94,101,0,13,0,13,30,34,0,13,30,34,390,205,314,199,0,13,0,13,0,13,0,13,76,87,0,13,0,13,0,13
1400000US13013180205,13013180205,"Census Tract 1802.05, Barrow County, Georgia",4588,473,4350,482,3193,493,901,331,0,13,161,139,0,13,0,13,95,97,0,13,95,97,238,155,208,144,0,13,0,13,0,13,0,13,12,18,18,30,18,30,0,13
1400000US13013180206,13013180206,"Census Tract 1802.06, Barrow County, Georgia",3141,437,2775,369,2398,455,160,197,0,13,0,13,0,13,0,13,217,245,0,13,217,245,366,401,0,13,0,13,0,13,0,13,0,13,359,401,7,12,0,13,7,12
1400000US13013180301,13013180301,"Census Tract 1803.01, Barrow County, Georgia",2290,294,2017,376,1874,369,114,97,0,13,20,34,0,13,0,13,9,17,0,13,9,17,273,243,256,238,0,13,0,13,0,13,0,13,17,22,0,13,0,13,0,13
1400000US13013180302,13013180302,"Census Tract 1803.02, Barrow County, Georgia",5585,455,5217,384,4474,421,322,190,54,80,0,19,0,19,0,19,367,258,0,19,367,258,368,201,368,201,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
1400000US13013180303,13013180303,"Census Tract 1803.03, Barrow County, Georgia",3729,317,3674,324,3226,349,268,229,0,13,59,68,0,13,9,17,112,103,0,13,112,103,55,62,44,60,11,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US13013180401,13013180401,"Census Tract 1804.01, Barrow County, Georgia",5190,574,5170,568,4536,559,565,200,0,19,48,86,0,19,0,19,21,35,0,19,21,35,20,30,16,29,0,19,0,19,0,19,0,19,0,19,4,8,4,8,0,19
1400000US13013180402,13013180402,"Census Tract 1804.02, Barrow County, Georgia",6273,617,5381,569,3954,454,1345,352,0,19,49,60,0,19,0,19,33,33,0,19,33,33,892,371,664,181,72,84,0,19,0,19,0,19,0,19,156,216,0,19,156,216
1400000US13013180501,13013180501,"Census Tract 1805.01, Barrow County, Georgia",5313,574,4448,424,3514,408,795,306,0,19,107,93,0,19,0,19,32,44,0,19,32,44,865,347,665,293,0,19,0,19,0,19,0,19,183,214,17,27,17,27,0,19
