GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US13001950100,13001950100,"Census Tract 9501, Appling County, Georgia",3073,412,2871,419,42,34,0,98,0,98,0,98,160,226,0,98,0,98,0,98
1400000US13001950200,13001950200,"Census Tract 9502, Appling County, Georgia",4579,502,2317,421,2170,322,0,98,0,98,0,98,49,88,43,78,43,78,0,98
1400000US13001950300,13001950300,"Census Tract 9503, Appling County, Georgia",5053,449,3510,446,456,205,9,17,138,161,0,98,940,488,0,98,0,98,0,98
1400000US13001950400,13001950400,"Census Tract 9504, Appling County, Georgia",1397,174,1065,186,332,131,0,98,0,98,0,98,0,98,0,98,0,98,0,98
1400000US13001950500,13001950500,"Census Tract 9505, Appling County, Georgia",4100,485,3450,465,574,263,0,98,0,98,11,16,31,54,34,67,0,98,34,67
1400000US13003960100,13003960100,"Census Tract 9601, Atkinson County, Georgia",2117,230,1269,242,575,175,2,4,0,98,0,98,207,121,64,79,0,98,64,79
1400000US13003960200,13003960200,"Census Tract 9602, Atkinson County, Georgia",4973,328,3016,340,895,194,0,98,0,98,0,98,978,224,84,83,0,98,84,83
1400000US13003960300,13003960300,"Census Tract 9603, Atkinson County, Georgia",1285,282,1181,303,65,71,0,98,0,98,0,98,39,20,0,98,0,98,0,98
1400000US13005970100,13005970100,"Census Tract 9701, Bacon County, Georgia",2739,534,2507,520,5,16,0,98,20,35,0,98,207,127,0,98,0,98,0,98
1400000US13005970201,13005970201,"Census Tract 9702.01, Bacon County, Georgia",3775,558,2607,537,1161,271,0,98,0,98,0,98,7,12,0,98,0,98,0,98
1400000US13005970202,13005970202,"Census Tract 9702.02, Bacon County, Georgia",4561,595,3468,645,734,274,0,98,0,98,0,98,339,164,20,36,0,98,20,36
1400000US13007960100,13007960100,"Census Tract 9601, Baker County, Georgia",2543,254,1221,413,1322,337,0,98,0,98,0,98,0,98,0,98,0,98,0,98
1400000US13007960200,13007960200,"Census Tract 9602, Baker County, Georgia",951,254,443,206,508,221,0,98,0,98,0,98,0,98,0,98,0,98,0,98
1400000US13009970100,13009970100,"Census Tract 9701, Baldwin County, Georgia",5081,467,3199,434,1832,344,0,98,0,98,0,98,0,98,50,52,0,98,50,52
1400000US13009970200,13009970200,"Census Tract 9702, Baldwin County, Georgia",7807,813,4809,655,2585,531,18,30,209,181,0,98,174,240,12,20,0,98,12,20
1400000US13009970300,13009970300,"Census Tract 9703, Baldwin County, Georgia",5337,532,3443,471,1675,305,0,98,174,147,0,98,0,98,45,51,25,39,20,32
1400000US13009970400,13009970400,"Census Tract 9704, Baldwin County, Georgia",4671,669,3147,618,1421,336,0,98,75,86,0,98,0,98,28,38,0,98,28,38
1400000US13009970500,13009970500,"Census Tract 9705, Baldwin County, Georgia",4893,751,2822,655,1952,430,0,98,74,68,0,98,3,8,42,50,8,11,34,50
