store,year,count,STTYPE
aldi,Y2008,21,Supermarket
aldi,Y2009,23,Supermarket
aldi,Y2010,25,Supermarket
aldi,Y2011,26,Supermarket
aldi,Y2012,30,Supermarket
aldi,Y2013,30,Supermarket
aldi,Y2014,33,Supermarket
aldi,Y2015,37,Supermarket
aldi,Y2016,39,Supermarket
bell.s,Y2008,1,Large Grocery Store
bell.s,Y2009,1,Large Grocery Store
bell.s,Y2010,1,Large Grocery Store
bell.s,Y2011,1,Large Grocery Store
bell.s,Y2012,1,Large Grocery Store
bell.s,Y2013,1,Large Grocery Store
bell.s,Y2014,1,Large Grocery Store
bell.s,Y2015,1,Large Grocery Store
bell.s,Y2016,1,Large Grocery Store
big.bear,Y2008,1,Super Store
big.bear,Y2009,1,Super Store
big.bear,Y2010,1,Super Store
big.bear,Y2011,1,Super Store
big.bear,Y2012,1,Super Store
big.bear,Y2013,1,Super Store
big.bear,Y2014,2,Super Store
big.bear,Y2015,2,Super Store
big.bear,Y2016,2,Super Store
big.lots,Y2014,1,Convenience Store
big.lots,Y2015,24,Convenience Store
big.lots,Y2016,24,Convenience Store
bp.food.mart,Y2008,10,Convenience Store
bp.food.mart,Y2009,13,Convenience Store
bp.food.mart,Y2010,18,Convenience Store
bp.food.mart,Y2011,21,Convenience Store
bp.food.mart,Y2012,25,Convenience Store
bp.food.mart,Y2013,27,Convenience Store
bp.food.mart,Y2014,28,Convenience Store
bp.food.mart,Y2015,27,Convenience Store
bp.food.mart,Y2016,29,Convenience Store
chevron.food.mart,Y2008,44,Convenience Store
chevron.food.mart,Y2009,60,Convenience Store
chevron.food.mart,Y2010,93,Convenience Store
chevron.food.mart,Y2011,130,Convenience Store
chevron.food.mart,Y2012,149,Convenience Store
chevron.food.mart,Y2013,166,Convenience Store
chevron.food.mart,Y2014,164,Convenience Store
chevron.food.mart,Y2015,167,Convenience Store
chevron.food.mart,Y2016,167,Convenience Store
circle.k,Y2008,8,Convenience Store
circle.k,Y2009,8,Convenience Store
circle.k,Y2010,9,Convenience Store
circle.k,Y2011,8,Convenience Store
circle.k,Y2012,8,Convenience Store
circle.k,Y2013,9,Convenience Store
circle.k,Y2014,10,Convenience Store
circle.k,Y2015,12,Convenience Store
circle.k,Y2016,16,Convenience Store
citgo.food.mart,Y2008,31,Convenience Store
citgo.food.mart,Y2009,36,Convenience Store
citgo.food.mart,Y2010,48,Convenience Store
citgo.food.mart,Y2011,82,Convenience Store
citgo.food.mart,Y2012,96,Convenience Store
citgo.food.mart,Y2013,96,Convenience Store
citgo.food.mart,Y2014,91,Convenience Store
citgo.food.mart,Y2015,83,Convenience Store
citgo.food.mart,Y2016,80,Convenience Store
costco,Y2010,7,Super Store
costco,Y2011,8,Super Store
costco,Y2012,8,Super Store
costco,Y2013,8,Super Store
costco,Y2014,8,Super Store
costco,Y2015,9,Super Store
costco,Y2016,9,Super Store
cvs.pharmacy,Y2008,89,Combination Grocery/Other
cvs.pharmacy,Y2009,91,Combination Grocery/Other
cvs.pharmacy,Y2010,117,Combination Grocery/Other
cvs.pharmacy,Y2011,137,Combination Grocery/Other
cvs.pharmacy,Y2012,158,Combination Grocery/Other
cvs.pharmacy,Y2013,162,Combination Grocery/Other
cvs.pharmacy,Y2014,160,Combination Grocery/Other
cvs.pharmacy,Y2015,152,Combination Grocery/Other
cvs.pharmacy,Y2016,149,Combination Grocery/Other
dollar.general,Y2008,103,Combination Grocery/Other
dollar.general,Y2009,104,Combination Grocery/Other
dollar.general,Y2010,114,Combination Grocery/Other
dollar.general,Y2011,121,Combination Grocery/Other
dollar.general,Y2012,128,Combination Grocery/Other
dollar.general,Y2013,134,Combination Grocery/Other
dollar.general,Y2014,140,Combination Grocery/Other
dollar.general,Y2015,145,Combination Grocery/Other
dollar.general,Y2016,150,Combination Grocery/Other
dollar.tree,Y2008,24,Combination Grocery/Other
dollar.tree,Y2009,46,Combination Grocery/Other
dollar.tree,Y2010,59,Combination Grocery/Other
dollar.tree,Y2011,65,Combination Grocery/Other
dollar.tree,Y2012,71,Combination Grocery/Other
dollar.tree,Y2013,77,Combination Grocery/Other
dollar.tree,Y2014,82,Combination Grocery/Other
dollar.tree,Y2015,90,Combination Grocery/Other
dollar.tree,Y2016,94,Combination Grocery/Other
exxon.food.mart,Y2008,8,Convenience Store
exxon.food.mart,Y2009,14,Convenience Store
exxon.food.mart,Y2010,28,Convenience Store
exxon.food.mart,Y2011,41,Convenience Store
exxon.food.mart,Y2012,44,Convenience Store
exxon.food.mart,Y2013,47,Convenience Store
exxon.food.mart,Y2014,46,Convenience Store
exxon.food.mart,Y2015,45,Convenience Store
exxon.food.mart,Y2016,51,Convenience Store
family.dollar.store,Y2008,83,Combination Grocery/Other
family.dollar.store,Y2009,104,Combination Grocery/Other
family.dollar.store,Y2010,110,Combination Grocery/Other
family.dollar.store,Y2011,118,Combination Grocery/Other
family.dollar.store,Y2012,130,Combination Grocery/Other
family.dollar.store,Y2013,140,Combination Grocery/Other
family.dollar.store,Y2014,148,Combination Grocery/Other
family.dollar.store,Y2015,153,Combination Grocery/Other
family.dollar.store,Y2016,145,Combination Grocery/Other
flash.foods.llc,Y2008,9,Convenience Store
flash.foods.llc,Y2009,11,Convenience Store
flash.foods.llc,Y2010,10,Convenience Store
